security_id,subsector,peer_group,classification_notes
SEC_NVDA,fabless_design,ai_compute_accelerators,"Fabless compute accelerator designer; grouped by primary data-center and AI compute exposure."
SEC_AMD,fabless_design,ai_compute_accelerators,"Fabless CPU/GPU and accelerator designer; economically overlaps in data-center and AI compute."
SEC_MRVL,fabless_design,data_center_connectivity,"Fabless data-infrastructure and connectivity designer; separated from compute accelerators."
SEC_QCOM,fabless_design,wireless_compute_platforms,"Fabless wireless and edge-compute platform designer; grouped by handset and connectivity exposure."
SEC_AVGO,fabless_design,data_center_connectivity,"Semiconductor operations emphasize networking and connectivity; conglomerate characteristics require periodic review."
SEC_INTC,integrated_device_manufacturer,logic_idm,"Integrated logic designer and manufacturer; fabrication ownership distinguishes it from fabless designers."
SEC_TSM,foundry,pure_play_foundry,"Contract wafer foundry; grouped by manufacturing-service economics rather than chip end market."
SEC_MU,memory,memory_products,"DRAM and NAND producer; grouped by commodity memory supply-and-demand exposure."
SEC_AMAT,equipment,wafer_fabrication_equipment,"Wafer-fabrication equipment supplier; economics tied to semiconductor capital spending."
SEC_SNPS,eda_ip,eda_design_ip,"Electronic-design automation and semiconductor IP supplier; grouped by chip-design tooling economics."
SEC_AMKR,packaging_testing,outsourced_assembly_test,"Outsourced semiconductor assembly and test provider; grouped by back-end manufacturing services."
SEC_TXN,analog_mixed_signal,diversified_analog,"Diversified analog and embedded semiconductor manufacturer; grouped by broad analog signal-chain exposure."
