ticker,company_name,exchange_or_market,subsector,semiconductor_role,business_description,inclusion_reason,review_flag,universe_tier,notes
NVDA,NVIDIA Corporation,Nasdaq,fabless_compute,Fabless GPU and AI accelerator designer,"Designs GPUs, AI accelerators, networking silicon, and related computing platforms.",Core candidate: direct exposure to leading-edge compute and AI accelerator design.,CLEAR,core,Economic classification only; fabless manufacturing model.
TSM,Taiwan Semiconductor Manufacturing Company Limited,NYSE ADR (underlying TWSE 2330),foundry,Pure-play semiconductor foundry,Manufactures integrated circuits for external customers across leading-edge and mature process nodes.,Core candidate: central contract manufacturer linking chip designers to physical production.,CLEAR,core,ADR/security mapping and point-in-time eligibility should be handled later.
MU,Micron Technology Inc.,Nasdaq,memory,Integrated DRAM and NAND manufacturer,"Designs and manufactures DRAM, NAND, and other memory and storage products.","Core candidate: direct exposure to global memory supply, demand, and technology cycles.",CLEAR,core,Memory is both the product role and the dominant semiconductor exposure.
000660.KS,SK hynix Inc.,Korea Exchange (KRX),memory,Integrated DRAM and NAND manufacturer,"Designs and manufactures DRAM, high-bandwidth memory, NAND flash, and related storage products.","Core candidate: major global memory supplier with direct HBM, DRAM, and NAND exposure.",CLEAR,core,Includes the consolidated memory business; later security-history rules remain separate.
AMD,Advanced Micro Devices Inc.,Nasdaq,fabless_compute,Fabless CPU GPU and accelerator designer,"Designs CPUs, GPUs, data-center accelerators, adaptive computing products, and related silicon.","Core candidate: direct compute-semiconductor exposure across client, data center, and AI workloads.",CLEAR,core,Fabless design role; manufacturing is outsourced.
ASML,ASML Holding N.V.,Nasdaq ADR (primary Euronext Amsterdam),semiconductor_equipment,Lithography equipment supplier,"Develops and sells lithography systems, including EUV and DUV tools, used to pattern semiconductor wafers.",Core candidate: critical upstream equipment provider for advanced and mature-node fabrication.,CLEAR,core,ADR used as candidate identifier; primary Dutch listing can be mapped later. Global listing and time-zone considerations should be handled later in universe eligibility.
688825.SS,CXMT Corporation,Shanghai Stock Exchange STAR Market,memory,Integrated DRAM manufacturer,"Develops and manufactures DRAM products for computing, mobile, and other memory applications.",Core candidate: economically direct exposure to DRAM manufacturing and Chinese memory capacity.,CLEAR,extension,Candidate name CXMT mapped to the July 2026 STAR Market listing; very short listed history should be assessed only at the later eligibility stage.
INTC,Intel Corporation,Nasdaq,integrated_device_manufacturer,Integrated logic-chip designer and manufacturer,Designs and manufactures x86 CPUs and other compute products and is expanding external foundry services.,Core candidate: major logic IDM with both product and wafer-manufacturing exposure.,CLEAR,core,Foundry activity is secondary to the primary IDM classification; restructuring and business mix should be tracked point in time.
LRCX,Lam Research Corporation,Nasdaq,semiconductor_equipment,Etch and deposition equipment supplier,"Provides wafer-fabrication systems used for etch, deposition, and related semiconductor manufacturing processes.",Core candidate: direct capital-equipment exposure to logic and memory fabrication.,CLEAR,core,Primary role is front-end wafer-fabrication equipment.
AMAT,Applied Materials Inc.,Nasdaq,semiconductor_equipment,Diversified wafer-fabrication equipment supplier,"Supplies deposition, materials engineering, inspection, and other manufacturing systems for semiconductors and displays.",Core candidate: broad exposure to semiconductor fabrication capital spending and process complexity.,CLEAR,core,Display equipment is non-semiconductor exposure but semiconductor equipment is the central economic role.
ARM,Arm Holdings plc,Nasdaq ADR,eda_ip,Processor architecture and semiconductor IP licensor,"Develops CPU architectures, processor cores, and system IP licensed to chip designers and device companies.","Core candidate: foundational semiconductor IP used across mobile, embedded, and compute markets.",CLEAR,core,Classified as EDA/IP rather than fabless compute because licensing IP is the primary business model.
TXN,Texas Instruments Incorporated,Nasdaq,analog_mixed_signal,Analog and embedded semiconductor supplier,"Designs and manufactures analog chips and embedded processors used across industrial, automotive, and other markets.",Core candidate: large and economically important analog semiconductor producer.,CLEAR,core,"Although vertically integrated, product role takes precedence over the generic IDM bucket."
